Codigo;Nombre;Garantia
5705;Amplitude FIRST PLUS 1.50 Orgánico SUNMATIC Café Add hasta 1.75;SI
5706;Amplitude FIRST VIEW 1.50 Orgánico SUNMATIC Gris Add hasta 1.75;SI
5707;Amplitude FIRST VIEW 1.50 Orgánico SUNMATIC Café Add hasta 1.75;SI
5708;Amplitude FIRST PLUS 1.60 MR-8 Blanco Add hasta 1.75;SI
5710;Amplitude FIRST VIEW 1.60 MR-8 Blanco Add hasta 1.75;SI
5712;Amplitude FIRST PLUS 1.60 MR-8 Control Blue Add hasta 1.75;SI
5714;Amplitude FIRST VIEW 1.60 MR-8 Control Blue Add hasta 1.75;SI
5740;Progresivo STANDARD 1.50 Orgánico Blanco;Prescripcion
5742;Progresivo STANDARD 1.50 Orgánico Photo Lite;Prescripcion
5744;Progresivo STANDARD 1.59 Policarbonato Blanco;Prescripcion
5746;Progresivo STANDARD 1.60 MR-8 Control Blue;Prescripcion
5750;Amplitude CLASSIC 1.50 Orgánico Blanco;SI
5752;Amplitude CLASSIC 1.50 Orgánico Smart Control;SI
5754;Amplitude CLASSIC 1.50 Orgánico Photo Lite;SI
5755;Amplitude CLASSIC 1.50 Orgánico SUNMATIC Azul;SI
5756;Amplitude CLASSIC 1.50 Orgánico SUNMATIC Gris;SI
5757;Amplitude CLASSIC 1.50 Orgánico SUNMATIC Rosado;SI
5758;Amplitude CLASSIC 1.50 Orgánico SUNMATIC Café;SI
5766;Amplitude CLASSIC 1.50 Orgánico Polarizado Gris;SI
5768;Amplitude CLASSIC 1.50 Orgánico Polarizado Café;SI
5770;Amplitude CLASSIC 1.50 Orgánico Polarizado G15;SI
5772;Amplitude CLASSIC 1.50 Orgánico Polarizado Gris Espejado Plata;SI
5774;Amplitude CLASSIC 1.50 Orgánico Polarizado Gris Espejado Azul;SI
5776;Amplitude CLASSIC 1.50 Orgánico Polarizado Marron Espejado Dorado;SI
5778;Amplitude CLASSIC 1.59 Policarbonato Blanco;SI
5779;Amplitude CLASSIC 1.59 Policarbonato Smart Control;SI
5780;Amplitude CLASSIC 1.59 Poli Foto Neochromes Gris;SI
5782;Amplitude CLASSIC 1.60 MR-8 Blanco;SI
5783;Amplitude CLASSIC 1.60 MR-8 SUNMATIC Gris;SI
5784;Amplitude CLASSIC 1.60 MR-8 Control Blue;SI
5800;Amplitude OFFICE 1.50 Orgánico Blanco PROF;SI
5802;Amplitude OFFICE 1.50 Orgánico Smart Control PROF;SI
5804;Amplitude OFFICE 1.53 Trivex Blanco PROF;SI
5806;Amplitude OFFICE 1.59 Policarbonato Blanco PROF;SI
5807;Amplitude OFFICE 1.59 Policarbonato Smart Control PROF;SI
5808;Amplitude OFFICE 1.60 MR-8 Blanco PROF;SI
5810;Amplitude OFFICE 1.60 MR-8 Control Blue PROF;SI
5812;Amplitude OFFICE 1.67 Orgathin Blanco PROF;SI
5814;Amplitude OFFICE 1.50 Orgánico Blanco DEG;SI
5816;Amplitude OFFICE 1.50 Orgánico Smart Control DEG;SI
5818;Amplitude OFFICE 1.53 Trivex Blanco DEG;SI
5819;Amplitude OFFICE 1.59 Policarbonato Blanco DEG;SI
5821;Amplitude OFFICE 1.59 Policarbonato Smart Control DEG;SI
5822;Amplitude OFFICE 1.60 MR-8 Blanco DEG;SI
5824;Amplitude OFFICE 1.60 MR-8 Control Blue DEG;SI
5826;Amplitude OFFICE 1.67 Orgathin Blanco DEG;SI
5850;Amplitude FIRST OFFICE 1.50 Orgánico Blanco c/add hasta 1.75;SI
5852;Amplitude FIRST OFFICE 1.59 Policarbonato Blanco c/add hasta 1.75;SI
5854;Amplitude FIRST OFFICE 1.60 MR-8 Blanco c/add hasta 1.75;SI
5856;Amplitude FIRST OFFICE 1.60 MR-8 Control Blue c/add hasta 1.75;SI
7830;Sdo Par Promo;NO
10000;Argos BKS 1.50 Hilux Clear;SI
10002;Argos BKS 1.50 Hilux Clear Blue Filter;SI
10004;Argos BKS 1.50 Hilux Sensity 2 Grey;SI
10006;Argos BKS 1.50 Hilux Polarized Grey;SI
10008;Argos BKS 1.50 Hilux Polarized Brown;SI
10010;Argos BKS 1.59 Hilux Clear;SI
10012;Argos BKS 1.59 Hilux Clear Blue Filter;SI
10014;Argos BKS 1.59 Hilux Sensity 2 Grey;SI
10022;Argos BKS 1.60 Hilux MR-8 Clear;SI
10024;Argos BKS 1.60 Hilux MR-8 Filter 420;SI
10026;Argos BKS 1.60 Hilux MR-8 Sensity 2 Grey;SI
10028;Argos BKS 1.60 Hilux MR-8 Sensity 2 Brown;SI
10030;Argos BKS 1.60 Hilux MR-8 Sensity 2 Green;SI
10040;Array 2 1.50 Hilux Clear ((USO INTERNO));SI
10050;Array 2 1.50 Hilux Clear Blue Filter;SI
10052;Array 2 1.50 Hilux Sensity 2 Grey;SI
